,X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,LAT,LONG
184,-8221521.078,4990752.732,185,0.086161968,0.000228537,Pelham Parkway,185,Bronx,40.85347166,-73.85518043
185,-8236802.45,4975312.474,186,0.02469639,3.71E-05,Penn Station/Madison Sq West,186,Manhattan,40.74847636,-73.99245533
186,-8253355.341,4957252.159,187,0.126868431,0.000421196,Port Richmond,187,Staten Island,40.62545372,-74.14115248
187,-8231542.028,4961962.311,188,0.097798397,0.000313003,Prospect-Lefferts Gardens,188,Brooklyn,40.65756006,-73.94520016
188,-8234110.11,4964842.129,189,0.048674331,0.000101428,Prospect Heights,189,Brooklyn,40.67718248,-73.96826963
189,-8234408.496,4962409.512,190,0.074329466,0.000270874,Prospect Park,190,Brooklyn,40.66060757,-73.97095008
190,-8208823.976,4970288.688,191,0.130932638,0.000688461,Queens Village,191,Queens,40.71427831,-73.74112042
191,-8217069.646,4974715.126,192,0.11196462,0.000373808,Queensboro Hill,192,Queens,40.744411,-73.81519254
192,-8230995.02,4977259.345,193,0.065529958,0.000145592,Queensbridge/Ravenswood,193,Queens,40.76172443,-73.9402863
193,-8228851.311,4981626.576,194,0.081793835,0.000273482,Randalls Island,194,Manhattan,40.79143296,-73.92102903
194,-8238705.343,4964589.547,195,0.131308244,0.000801652,Red Hook,195,Brooklyn,40.67546168,-74.00954931
195,-8222504.005,4971664.844,196,0.083242111,0.000197471,Rego Park,196,Queens,40.72364786,-73.86401021
196,-8218611.535,4967164.219,197,0.108568532,0.000504689,Richmond Hill,197,Queens,40.69300047,-73.82904356
197,-8226732.313,4968855.865,198,0.134094243,0.00049981,Ridgewood,198,Queens,40.70452153,-73.90199375
198,-8224677.65,4981716.707,199,0.077808501,0.000288748,Rikers Island,199,Bronx,40.79204594,-73.8835364
199,-8227229.561,4997582.183,200,0.112661735,0.000744643,Riverdale/North Riverdale/Fieldston,200,Bronx,40.89985962,-73.90646061
200,-8220637.874,4950216.751,201,0.130404118,0.000619351,Rockaway Park,201,Queens,40.57746872,-73.84724647
201,-8232122.039,4977177.555,202,0.069921571,0.000106175,Roosevelt Island,202,Manhattan,40.76116792,-73.95041048
202,-8208333.991,4962247.242,203,0.189937816,0.00061513,Rosedale,203,Queens,40.65950178,-73.73671881
203,-8260682.442,4944835.507,204,0.101912418,0.000641384,Rossville/Woodrow,204,Staten Island,40.54074269,-74.20697295
204,-8211216.814,4967049.481,205,0.141953388,0.000766217,Saint Albans,205,Queens,40.69221897,-73.76261565
205,-8251352.845,4958793.142,206,0.212756793,0.000944393,Saint George/New Brighton,206,Staten Island,40.6359594,-74.12316375
206,-8226435.231,4977521.973,207,0.028375683,4.47E-05,Saint Michaels Cemetery/Woodside,207,Queens,40.76351136,-73.89932502
207,-8218148.755,4986517.198,208,0.21472101,0.002020326,Schuylerville/Edgewater Park,208,Bronx,40.82468614,-73.82488634
208,-8237905.002,4969438.58,209,0.030695311,3.89E-05,Seaport,209,Manhattan,40.70848969,-74.00235972
209,-8231445.836,4952604.996,210,0.114851983,0.000453155,Sheepshead Bay,210,Brooklyn,40.59376161,-73.94433605
210,-8237795.353,4971701.743,211,0.025234508,3.97E-05,SoHo,211,Manhattan,40.72389907,-74.00137473
211,-8223159.868,4987045.459,212,0.067129065,0.000161276,Soundview/Bruckner,212,Bronx,40.82827698,-73.86990193
212,-8222145.648,4985311.658,213,0.159958784,0.000904078,Soundview/Castle Hill,213,Bronx,40.81649076,-73.86079104
213,-8247203.043,4951557.956,214,0.135300314,0.000811977,South Beach/Dongan Hills,214,Staten Island,40.58661906,-74.08588545
214,-8214306.14,4967338.909,215,0.103556454,0.000395647,South Jamaica,215,Queens,40.6941903,-73.79036754
215,-8217661.947,4964825.799,216,0.116797555,0.000816077,South Ozone Park,216,Queens,40.67707123,-73.82051327
216,-8232838.412,4968669.093,217,0.055390525,0.000114733,South Williamsburg,217,Brooklyn,40.70324961,-73.95684577
217,-8212274.419,4964319.234,218,0.083700828,0.000281294,Springfield Gardens North,218,Queens,40.67362003,-73.77211628
218,-8211037.847,4962353.884,219,0.15512667,0.000428176,Springfield Gardens South,219,Queens,40.66022849,-73.76100796
219,-8227832.541,4994937.654,220,0.106015943,0.000313036,Spuyten Duyvil/Kingsbridge,220,Bronx,40.88190094,-73.91187727
220,-8246696.463,4956485.145,221,0.166218221,0.000890112,Stapleton,221,Staten Island,40.62022397,-74.08133476
221,-8224521.927,4960394.057,222,0.048389353,0.000130268,Starrett City,222,Brooklyn,40.64687191,-73.88213752
222,-8227253.074,4979680.075,223,0.166021925,0.000764361,Steinway,223,Queens,40.77819333,-73.90667183
223,-8235175.71,4972851.796,224,0.044020446,9.85E-05,Stuy Town/Peter Cooper Village,224,Manhattan,40.73172816,-73.97784208
224,-8230010.795,4966545.341,225,0.088799207,0.000310835,Stuyvesant Heights,225,Brooklyn,40.68878506,-73.93144486
225,-8229774.4,4973372.619,226,0.168957762,0.000761944,Sunnyside,226,Queens,40.73527341,-73.92932128
226,-8238398.685,4959620.264,227,0.082830157,0.000268317,Sunset Park East,227,Brooklyn,40.64159763,-74.00679455
227,-8238751.113,4961383.9,228,0.177685178,0.000993415,Sunset Park West,228,Brooklyn,40.65361821,-74.00996047
